,"Position, steps","Sharpness, -","Time, s"
0,0.0,1.915257242936195,0.0
1,5700.0,0.6709181443865068,1.6864304542541504
2,11400.0,0.4229184264858284,3.2194228172302246
3,17100.0,0.27994298213301433,4.773479700088501
4,22800.0,0.21001205509328896,6.3056960105896
5,28500.0,0.1636309326256433,7.842954158782959
6,34200.0,0.1574522498756326,9.391725540161133
7,39900.0,0.17819403408647347,10.936499118804932
8,45600.0,0.21492002243145297,12.474045991897583
9,51300.0,0.2850115541148401,14.030064582824707
10,0.0,1.8789171020164164,25.740391969680786
11,500.0,1.7931677946578983,26.111767530441284
12,250.0,1.7772789494159131,26.472077131271362
13,375.0,1.8260484547691167,26.760152339935303
14,500.0,1.7814986379017128,27.037409782409668
15,438.0,1.72566913800338,27.293882608413696
16,469.0,1.7484345691866408,27.56231379508972
17,500.0,1.734003259857804,27.813838958740234
18,485.0,1.7144174747336507,28.08687686920166
19,492.0,1.7195595112585822,28.356242656707764
20,499.0,1.7167637592204954,28.61814045906067
21,496.0,1.7142244168422074,28.849749326705933
22,497.0,1.7153440587398086,29.114473819732666
