,"Position, steps","Sharpness, -","Time, s"
0,0.0,1.8162753291234004,0.0
1,5700.0,0.28588533895124374,1.7250127792358398
2,11400.0,0.20150777605853804,3.2811119556427
3,17100.0,0.16708910361560564,4.740178823471069
4,22800.0,0.17309601098108895,6.3524298667907715
5,28500.0,0.19542089874664484,7.906569719314575
6,34200.0,0.2489253570813583,9.490821361541748
7,39900.0,0.29884582464322684,11.051941633224487
8,45600.0,0.3523871258751596,12.607453107833862
9,51300.0,0.40848397711468726,14.152940034866333
10,0.0,1.6513379812212312,25.842138051986694
11,500.0,1.6528779957235933,26.13541030883789
12,1000.0,1.3589747148755178,26.507895946502686
13,750.0,1.2989145457988522,26.80259394645691
14,875.0,1.3822550174808896,27.073968648910522
15,1000.0,1.315559553679793,27.35417151451111
16,938.0,1.2464160084709899,27.617444038391113
17,969.0,1.2753757128728487,27.90924596786499
18,1000.0,1.251772494105992,28.167527198791504
19,985.0,1.2315711632645747,28.41751718521118
20,992.0,1.2397259276786796,28.67093253135681
21,999.0,1.2339312712302823,28.920764207839966
22,996.0,1.2325789262919689,29.165937185287476
23,997.0,1.2334586476500964,29.427009105682373
