,"Position, steps","Sharpness, -"
0,0.0,0.321343791561316
1,100.0,0.3215037832316057
2,200.0,0.3174561019347756
3,300.0,0.3197109896969049
4,400.0,0.31824703464681364
5,500.0,0.3167093128486671
6,600.0,0.3187272698303503
7,700.0,0.3176792131268238
8,800.0,0.3152847683092542
9,900.0,0.3165947342075585
10,1000.0,0.3176274433017191
11,1100.0,0.3170210080632043
12,1200.0,0.31491341677938856
13,1300.0,0.3126117413023224
14,1400.0,0.31405357811580814
15,1500.0,0.3160007037095519
16,1600.0,0.31241766417532063
17,1700.0,0.31202757970642675
18,1800.0,0.3127198930514946
19,1900.0,0.3159403192935914
20,2000.0,0.30985474764422055
21,2100.0,0.3110470805312549
22,2200.0,0.31072033037232866
23,2300.0,0.3117481333312842
24,2400.0,0.312081998856228
25,2500.0,0.312561566570066
26,2600.0,0.3119917309335808
27,2700.0,0.31237784329807183
28,2800.0,0.3128600046002137
29,2900.0,0.3075927208818545
30,3000.0,0.3094151272711051
31,3100.0,0.30883689024966904
32,3200.0,0.3092060415110172
33,3300.0,0.3060744591785375
34,3400.0,0.3086595058624517
35,3500.0,0.3102762978597633
36,3600.0,0.3087779714414222
37,3700.0,0.3075681567314706
38,3800.0,0.31187885644148583
39,3900.0,0.30984200883774976
40,4000.0,0.3072167549930613
41,4100.0,0.3078499815879367
42,4200.0,0.3096703855038876
43,4300.0,0.3112113990181748
44,4400.0,0.30660878371204175
45,4500.0,0.30859965285783003
46,4600.0,0.31090646466379857
47,4700.0,0.31009116490574656
48,4800.0,0.3053198667963015
49,4900.0,0.3076945476853106
50,5000.0,0.3113781952610347
51,5100.0,0.3087502830866556
52,5200.0,0.31037406331607925
53,5300.0,0.3094403769190755
54,5400.0,0.30853585381152693
55,5500.0,0.30928783594306386
56,5600.0,0.30651519995171633
57,5700.0,0.3088886075702659
58,5800.0,0.31070498438890254
59,5900.0,0.3108325107916255
60,6000.0,0.3117381958110238
61,6100.0,0.3144499807420136
62,6200.0,0.3157949037924978
63,6300.0,0.3146270839722267
64,6400.0,0.31397494219742006
65,6500.0,0.3138238400728373
66,6600.0,0.3131224187254928
67,6700.0,0.3171983449273208
68,6800.0,0.3184990471779407
69,6900.0,0.32103879083723397
70,7000.0,0.32065357927537685
71,7100.0,0.3193422172684556
72,7200.0,0.3207838954279256
73,7300.0,0.32092154796718936
74,7400.0,0.3221119236195235
75,7500.0,0.3241745291128032
76,7600.0,0.3267600633492921
77,7700.0,0.32878575117415293
78,7800.0,0.33088467076064104
79,7900.0,0.32972508523901883
80,8000.0,0.3325601900838418
81,8100.0,0.3330026725849035
82,8200.0,0.3358056525714992
83,8300.0,0.3380781299979257
84,8400.0,0.33959551620738704
85,8500.0,0.3388995152322672
86,8600.0,0.3447351958983642
87,8700.0,0.34485106629481266
88,8800.0,0.3495616739082156
89,8900.0,0.35113758051720656
90,9000.0,0.3536548717995237
91,9100.0,0.3567791395045183
92,9200.0,0.36179881260881913
93,9300.0,0.36535415712734154
94,9400.0,0.3694741778869033
95,9500.0,0.37378771199686817
96,9600.0,0.3769808591515798
97,9700.0,0.37991332836123387
98,9800.0,0.38954426328118014
99,9900.0,0.38922835633339636
100,10000.0,0.39369763120745244
101,10100.0,0.398549975870543
102,10200.0,0.4032048329858482
103,10300.0,0.41108997029931266
104,10400.0,0.42069644412098933
105,10500.0,0.42579468097644213
106,10600.0,0.4313233525549066
107,10700.0,0.44029894960227167
108,10800.0,0.4477679858084186
109,10900.0,0.4538361335352339
110,11000.0,0.4639921014947847
111,11100.0,0.4768721299287724
112,11200.0,0.48420323489865663
113,11300.0,0.4962295728835963
114,11400.0,0.5069279841934353
115,11500.0,0.5279863053964032
116,11600.0,0.5355892894455001
117,11700.0,0.5538064231358871
118,11800.0,0.5678727426055817
119,11900.0,0.5881354161684499
120,12000.0,0.612049759992206
121,12100.0,0.6315816831589945
122,12200.0,0.652520346612024
123,12300.0,0.6779526523285894
124,12400.0,0.7036090265458509
125,12500.0,0.7314838095737634
126,12600.0,0.7562584086842195
127,12700.0,0.7889837465702523
128,12800.0,0.8220027063584985
129,12900.0,0.8482975278159075
130,13000.0,0.8811478410891851
131,13100.0,0.913302793740781
132,13200.0,0.9502269951428938
133,13300.0,0.984467878620119
134,13400.0,1.016199034489385
135,13500.0,1.052537280204018
136,13600.0,1.0908163902301717
137,13700.0,1.1218980881729699
138,13800.0,1.155584298798225
139,13900.0,1.1925567154522048
140,14000.0,1.224591440066413
141,14100.0,1.2527481791115929
142,14200.0,1.2797538023097885
143,14300.0,1.3068677409841594
144,14400.0,1.3287529050680507
145,14500.0,1.347728250448993
146,14600.0,1.3651451941150605
147,14700.0,1.3776420883076048
148,14800.0,1.385405299692645
149,14900.0,1.4002577470021977
150,15000.0,1.4079301196311766
151,15100.0,1.410288038132506
152,15200.0,1.4090788452457665
153,15300.0,1.4099453208338149
154,15400.0,1.4066221857955814
155,15500.0,1.3922844258849094
156,15600.0,1.3913436525254408
157,15700.0,1.3851772554862696
158,15800.0,1.3729934627983376
159,15900.0,1.3555240348449216
160,16000.0,1.3497421475931008
161,16100.0,1.3363287452309156
162,16200.0,1.3138913780268466
163,16300.0,1.304351016412273
164,16400.0,1.290080968584352
165,16500.0,1.2721472614061526
166,16600.0,1.2566471831593975
167,16700.0,1.2398954813804879
168,16800.0,1.2287335632044816
169,16900.0,1.2023240706754748
170,17000.0,1.1902159412596018
171,17100.0,1.1767737096653417
172,17200.0,1.1537889313243828
173,17300.0,1.1384185631819665
174,17400.0,1.124078383935635
175,17500.0,1.1041705305480787
176,17600.0,1.0902309298260267
177,17700.0,1.0722418557409044
178,17800.0,1.0488472154560808
179,17900.0,1.0280553523504028
180,18000.0,1.0080435589958376
181,18100.0,0.9907962116492777
182,18200.0,0.9680688356740851
183,18300.0,0.9482530772897965
184,18400.0,0.9266060325885911
185,18500.0,0.9092646690280216
186,18600.0,0.8877030403908595
187,18700.0,0.8682920123871354
188,18800.0,0.850883626309596
189,18900.0,0.8340078819833034
190,19000.0,0.8123165226867972
191,19100.0,0.8041051327631403
192,19200.0,0.782050203549234
193,19300.0,0.7684163345943659
194,19400.0,0.7546662728659421
195,19500.0,0.7457545280654296
