Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -11281.79454418917
[3.5e+00 1.8e+04 1.0e+03] R^2: -11197.532402643406
[3.5e+00 1.8e+04 1.0e+03] R^2: -11170.892708800973
[3.5e+00 1.8e+04 1.0e+03] R^2: -11245.88247875054
[3.5e+00 1.8e+04 1.0e+03] R^2: -11204.432163078194
[3.5e+00 1.8e+04 1.0e+03] R^2: -11085.024270760558
[3.5e+00 1.8e+04 1.0e+03] R^2: -10960.977427136817
[3.5e+00 1.8e+04 1.0e+03] R^2: -11064.029750360742
[3.5e+00 1.8e+04 1.0e+03] R^2: -11069.637465193626
[3.5e+00 1.8e+04 1.0e+03] R^2: -11091.222181822737
[3.5e+00 1.8e+04 1.0e+03] R^2: -11016.117068693733
[3.5e+00 1.8e+04 1.0e+03] R^2: -10833.230328518463
[3.5e+00 1.8e+04 1.0e+03] R^2: -10927.586884989707
[3.5e+00 1.8e+04 1.0e+03] R^2: -10987.25323077261
[3.5e+00 1.8e+04 1.0e+03] R^2: -10940.809576363095
[3.5e+00 1.8e+04 1.0e+03] R^2: -11008.44463051891
[3.5e+00 1.8e+04 1.0e+03] R^2: -10866.93812336549
[3.5e+00 1.8e+04 1.0e+03] R^2: -10790.204640968235
[3.5e+00 1.8e+04 1.0e+03] R^2: -10759.167639078305
[3.5e+00 1.8e+04 1.0e+03] R^2: -10707.807106321383
[3.5e+00 1.8e+04 1.0e+03] R^2: -10748.043977491545
[3.5e+00 1.8e+04 1.0e+03] R^2: -10721.27049611961
[3.5e+00 1.8e+04 1.0e+03] R^2: -10721.366164583864
[3.5e+00 1.8e+04 1.0e+03] R^2: -10712.235730171638
[3.5e+00 1.8e+04 1.0e+03] R^2: -10760.253519092004
[3.5e+00 1.8e+04 1.0e+03] R^2: -10847.58958058992
[3.5e+00 1.8e+04 1.0e+03] R^2: -10912.851160444956
[3.5e+00 1.8e+04 1.0e+03] R^2: -10904.839140775168
[3.5e+00 1.8e+04 1.0e+03] R^2: -10881.810226123493
[3.5e+00 1.8e+04 1.0e+03] R^2: -10913.677528426695
[3.5e+00 1.8e+04 1.0e+03] R^2: -10912.525623247511
[3.5e+00 1.8e+04 1.0e+03] R^2: -10992.905689449206
