,"Position, steps","Sharpness, -","Time, s"
0,0.0,0.1546677232116903,0.0
1,5700.0,0.16230845868299937,1.6722326278686523
2,11400.0,0.22280992735935423,3.226247549057007
3,17100.0,1.8594631860742241,4.784903049468994
4,22800.0,0.30864688704718296,6.33351469039917
5,28500.0,0.236756166204715,7.891835689544678
6,34200.0,0.22061254513124143,9.416342973709106
7,39900.0,0.23962936509231017,10.944272518157959
8,45600.0,0.2777691273984363,12.476003885269165
9,51300.0,0.29827468031942145,14.025387525558472
10,17100.0,1.7847794565160857,21.915644884109497
11,17600.0,1.6815271218149532,22.340129137039185
12,17350.0,1.6884962443976321,22.71011996269226
13,17100.0,1.77630684918102,23.01943802833557
14,16850.0,1.8228072972528537,23.311909675598145
15,16600.0,1.8834334364474725,23.631995916366577
16,16350.0,1.8897340273932468,23.97460103034973
17,16100.0,1.859610400220317,24.27489995956421
18,16225.0,1.830402050797646,24.571173429489136
19,16163.0,1.8594619369358873,24.833316802978516
20,16101.0,1.8477400770017154,25.10820174217224
21,16132.0,1.832695314271974,25.374484300613403
22,16117.0,1.8430594250679893,25.63992214202881
23,16102.0,1.8375820546475157,25.89512848854065
24,16109.0,1.833876668294383,26.159538507461548
25,16106.0,1.836510234942908,26.41316866874695
26,16103.0,1.8383706540145426,26.659785270690918
27,16100.0,1.8377252815876322,26.931564807891846
28,16101.0,1.8360332761326668,27.19235324859619
