,"Position, steps","Sharpness, -","Time, s"
0,0.0,0.1781034278200776,0.0
1,400.0,0.178490331196413,0.5318968296051025
2,800.0,0.1777131424731638,0.9208195209503174
3,1200.0,0.18081982981953568,1.2042396068572998
4,1600.0,0.1807172719324108,1.56443190574646
5,2000.0,0.18431552826359793,1.9688830375671387
6,2400.0,0.18385992803034842,2.363110303878784
7,2800.0,0.18350870583878967,2.714048147201538
8,3200.0,0.18442144653876058,3.0807013511657715
9,3600.0,0.1860753698713512,3.467747211456299
10,4000.0,0.18677598675208004,3.8374617099761963
11,4400.0,0.18750951818949174,4.1995062828063965
12,4800.0,0.18968274736704263,4.613430976867676
13,5200.0,0.19074193942490728,5.013559341430664
14,5600.0,0.19130133726809728,5.375655174255371
15,6000.0,0.19247808002314182,5.783599138259888
16,6400.0,0.19415800530557178,6.130141258239746
17,6800.0,0.1954836069421698,6.465862035751343
18,7200.0,0.19769786594630015,6.818440675735474
19,7600.0,0.1978477763347983,7.198867559432983
20,8000.0,0.19839488555472243,7.5799078941345215
21,8400.0,0.1988546614360037,7.9289162158966064
22,8800.0,0.20133644337528028,8.328103065490723
23,9200.0,0.20181888717997182,8.747328281402588
24,9600.0,0.20436278805278468,9.086166858673096
25,10000.0,0.2034469984264363,9.489174127578735
26,10400.0,0.2044093453542048,9.813262224197388
27,10800.0,0.2051279525616109,10.140921831130981
28,11200.0,0.20789309959637306,10.47533655166626
29,11600.0,0.20708264544157434,10.826979875564575
30,12000.0,0.20944641090194052,11.20737361907959
31,12400.0,0.20903112017114958,11.53883171081543
32,12800.0,0.20932615883048084,11.95891261100769
33,13200.0,0.21265462481580943,12.30910062789917
34,13600.0,0.21378801003549788,12.677194833755493
35,14000.0,0.2149317798779193,13.062262535095215
36,14400.0,0.21488618280668456,13.39470362663269
37,14800.0,0.21374659517265626,13.763706922531128
38,15200.0,0.21748930314226853,14.131230115890503
39,15600.0,0.22068838969328824,14.50758695602417
40,16000.0,0.22322433457964636,14.849891662597656
41,16400.0,0.23060982185713585,15.225465059280396
42,16800.0,0.23696373207318752,15.595890522003174
43,17200.0,0.24486647302215928,15.99779486656189
44,17600.0,0.2543226612888913,16.379817485809326
45,18000.0,0.27094487832992775,16.729792594909668
46,18400.0,0.29926200184517043,17.147216081619263
47,18800.0,0.32890588350192845,17.529929637908936
48,19200.0,0.3932393527362229,17.935876607894897
49,19600.0,0.4587407891687972,18.2880117893219
50,20000.0,0.5784313914816479,18.659639358520508
51,20400.0,0.6890648677359823,19.032947778701782
52,20800.0,0.9052943557085014,19.39637780189514
53,21200.0,1.0774986410641276,19.799232006072998
54,21600.0,1.3341756862194163,20.200624227523804
55,22000.0,1.515175728248755,20.59120535850525
56,22400.0,1.6912929246584498,20.97884726524353
57,22800.0,1.7999075971280143,21.37681794166565
58,23200.0,1.860688424732364,21.783155918121338
59,23600.0,1.8233331593290718,22.14628553390503
60,24000.0,1.696485498700547,22.552942514419556
61,24400.0,1.493777390386644,22.95845866203308
62,24800.0,1.3351403313816974,23.311405420303345
63,25200.0,1.178222896115028,23.730095386505127
64,25600.0,1.0282294936504706,24.072694540023804
65,26000.0,0.9209883619142211,24.4363374710083
66,26400.0,0.7817259847859999,24.84227204322815
67,26800.0,0.6857458744252317,25.2208993434906
68,27200.0,0.5946114011919812,25.544747352600098
69,27600.0,0.5459081237391342,25.912147045135498
70,28000.0,0.5108959286663024,26.276402473449707
71,28400.0,0.48258564754478844,26.662911653518677
72,28800.0,0.47662861757156194,27.00887417793274
73,29200.0,0.4709089639860459,27.412646770477295
74,29600.0,0.465665534605865,27.8263418674469
75,30000.0,0.46728404369272875,28.213016510009766
76,30400.0,0.47052770172470915,28.601806640625
77,30800.0,0.469323386370676,28.95912003517151
78,31200.0,0.45658376266478246,29.356194734573364
79,31600.0,0.44827212184849147,29.776113748550415
80,32000.0,0.43511748981545273,30.120662927627563
81,32400.0,0.428209762187707,30.50903844833374
82,32800.0,0.4198392897720724,30.911608934402466
83,33200.0,0.41378098155220455,31.264745712280273
84,33600.0,0.4121364698697573,31.641415119171143
85,34000.0,0.40883154729438437,32.043142318725586
86,34400.0,0.4057475524445962,32.39469575881958
87,34800.0,0.4067922226521314,32.82486367225647
88,35200.0,0.40544867819307384,33.17482352256775
89,35600.0,0.4039447121909756,33.60989022254944
90,36000.0,0.402777611275467,33.98111176490784
91,36400.0,0.40055678179900095,34.37218642234802
92,36800.0,0.4014797539549926,34.74582076072693
93,37200.0,0.4014723694745051,35.160152435302734
94,37600.0,0.39878697032728294,35.51102256774902
95,38000.0,0.3964803660492273,35.87394595146179
96,38400.0,0.39287027885854436,36.22508239746094
97,38800.0,0.38390479648716364,36.60165190696716
98,39200.0,0.37430755759624423,36.98096203804016
99,39600.0,0.3641663087262734,37.3705575466156
100,40000.0,0.35607535039170707,37.704604387283325
