,"Position, steps","Sharpness, -","Time, s"
0,0.0,0.1584818542527013,0.0
1,5700.0,0.15949477219972563,1.6914763450622559
2,11400.0,0.16452544641547767,3.254915714263916
3,17100.0,0.16209816029827245,4.815531015396118
4,22800.0,0.1941887143453816,6.361507415771484
5,28500.0,0.6239575931692765,7.909558057785034
6,34200.0,0.43297633122294715,9.471163034439087
7,39900.0,0.27763832288151946,11.007259130477905
8,45600.0,0.35648353477704253,12.568072080612183
9,51300.0,0.3615212784773043,14.101121664047241
10,28500.0,0.6751772185216036,19.4366717338562
11,29000.0,0.6936485088633021,19.81256079673767
12,29500.0,0.7563555958839979,20.214513778686523
13,30000.0,0.7774510133891437,20.608170747756958
14,30500.0,0.7763354854171891,21.000025510787964
15,30250.0,0.784448401120875,21.322344541549683
16,30000.0,0.785773290911096,21.64409303665161
17,29750.0,0.7794304134277896,21.970050811767578
18,29875.0,0.7750819281631877,22.25169610977173
19,29813.0,0.7814521128641726,22.531696319580078
20,29751.0,0.7782335739387868,22.797141313552856
21,29782.0,0.7782006402013436,23.03792452812195
22,29767.0,0.7764775053491969,23.292991876602173
23,29774.0,0.7768835590904486,23.540043592453003
24,29781.0,0.7760246831213228,23.77361559867859
25,29778.0,0.7767354563654197,24.01814031600952
26,29775.0,0.7755721146202178,24.277302265167236
27,29776.0,0.7770528473328152,24.507742881774902
